thriller,6530
science fiction,2339
horror,4082
adventure,3248
supernatural,571
action,5868
space western,12
erotic thriller,170
psychological thriller,1138
drama,19134
family film,3219
fantasy,2012
world cinema,5153
romantic comedy,2075
ensemble film,349
comedy-drama,1261
comedy,10467
romantic drama,2572
romance film,6666
costume drama,367
war film,1556
epic,196
period piece,1321
film adaptation,1225
animation,2441
short film,3192
children's/family,759
musical,2414
children's fantasy,244
indie,3668
crime fiction,4275
coming of age,741
bollywood,1058
fan film,18
black comedy,834
action/adventure,3553
cult,680
adventure comedy,123
slapstick,518
sports,672
family drama,766
biographical film,625
historical fiction,305
black-and-white,3731
biopic [feature],365
culture & society,204
biography,592
documentary,1213
christmas movie,80
television movie,665
action comedy,142
blaxploitation,79
martial arts film,706
erotica,235
sci-fi horror,124
satire,532
western,1022
softcore porn,41
sexploitation,82
mystery,2119
crime thriller,1682
action thrillers,405
suspense,651
musical drama,136
erotic drama,112
japanese movies,1290
pornographic movie,145
comedy film,1778
slasher,654
film noir,524
courtroom drama,184
new hollywood,86
experimental film,107
surrealism,99
tragicomedy,51
avant-garde,83
crime comedy,231
gangster film,338
fantasy comedy,196
monster movie,168
natural horror films,153
b-movie,386
creature film,347
music,356
comedy of errors,169
melodrama,499
americana,91
detective fiction,225
detective,282
horror comedy,206
anime,305
childhood drama,111
docudrama,252
lgbt,825
teen,824
gothic film,62
disaster,238
domestic comedy,172
escape film,45
prison,90
superhero movie,258
filipino movies,220
filipino,10
spy,342
combat films,84
wuxia,79
fantasy adventure,190
chinese movies,998
parody,767
comedy horror,19
dystopia,84
buddy film,325
tragedy,79
time travel,77
sword and sorcery,39
silent film,1199
political cinema,176
political satire,78
gross-out film,58
gross out,58
historical drama,107
marriage drama,137
crime drama,391
historical epic,63
screwball comedy,246
zombie film,234
gay,219
gay interest,217
gay themed,264
history,358
political drama,531
art film,351
medical fiction,56
costume adventure,77
feminist film,76
educational,16
film à clef,29
costume horror,55
juvenile delinquency film,42
natural disaster,14
pre-code,130
comedy of manners,212
musical comedy,175
children's,412
family-oriented adventure,213
remake,85
media satire,71
computer animation,195
spaghetti western,56
dogme 95,17
political thriller,195
hybrid western,29
stop motion,134
mockumentary,97
roadshow theatrical release,32
sex comedy,253
tollywood,32
women in prison films,13
holiday film,94
heavenly comedy,27
road movie,268
giallo,25
existentialism,34
social problem film,92
propaganda film,77
auto racing,50
slice of life story,94
kitchen sink realism,14
british new wave,13
heist,145
archaeology,10
romantic fantasy,59
religious film,61
biker film,20
animal picture,141
absurdism,79
swashbuckler films,104
hagiography,19
dance,69
adult,117
animated musical,43
anti-war,32
anti-war film,31
cavalry film,12
malayalam cinema,12
doomsday film,112
animals,15
addiction drama,42
comedy western,53
chase movie,100
gay pornography,21
superhero,111
christian film,116
apocalyptic and post-apocalyptic fiction,32
whodunit,43
future noir,29
airplanes and airports,53
social issues,101
law & crime,21
alien film,97
animated cartoon,94
revisionist western,60
jungle film,62
comedy thriller,78
tamil cinema,63
workplace comedy,84
caper story,80
inspirational drama,27
glamorized spy film,45
interpersonal relationships,21
illnesses & disabilities,14
british empire film,20
monster,113
samurai cinema,27
sword and sorcery films,37
b-western,19
concert film,11
haunted house film,65
exploitation,12
children's entertainment,11
splatter film,28
epic western,17
sword and sandal,16
mythological fantasy,26
hip hop movies,31
sci-fi adventure,32
boxing,51
gender issues,19
foreign legion,10
heaven-can-wait fantasies,21
stoner film,46
rockumentary,40
fairy tale,48
crime,26
master criminal films,25
stand-up comedy,12
indian western,18
road-horror,19
neo-noir,57
backstage musical,20
psycho-biddy,10
movie serial,11
outlaw biker film,12
beach film,19
punk rock,23
pinku eiga,24
albino bias,14
family & personal relationships,10
travel,14
steampunk,30
buddy cop,11
fantasy drama,16
prison film,12
extreme sports,10
cold war,10
bengali cinema,10
ealing comedies,12
film & television history,11
film,19
nature,17
world history,10
